100000 3
4911 -5259 9925 
-6283 970 -3325 
-2168 -3384 -7829 
-2605 -7127 3172 
-2334 8727 -7562 
6157 1391 -3898 
8906 -2991 2818 
-2829 6187 3485 
4791 -8590 -276 
6798 -6786 -3252 
3546 -9500 9427 
-6206 -7881 7386 
-8533 -8005 4646 
-4913 -612 -2567 
-2678 -9649 4955 
4686 3637 -8450 
4874 -2712 2693 
688 4914 8184 
8072 737 -1611 
9348 5788 6951 
6660 9503 -2099 
-4731 5986 -2802 
-9231 1612 -3836 
-3527 2618 9223 
6266 -7844 2803 
-6279 836 -8372 
-2769 -4829 1321 
-8869 5998 8885 
4481 2400 -1724 
-1429 6307 -6801 
5764 4971 -1185 
-1742 -5307 -8880 
-719 911 7134 
-6162 2372 -2587 
-2465 2393 -9723 
-9872 982 -1283 
-1058 -7840 6546 
9373 72 -4457 
2388 8151 1066 
2252 -1619 -6901 
5208 -6944 4748 
-8342 3164 3288 
-3465 -1833 4986 
-381 5950 -1843 
866 -8703 -6534 
-3817 8716 -9820 
-7289 925 -4865 
6580 9133 -1961 
-6356 9444 4855 
-4862 -2917 -2808 
-4504 -1151 -6939 
-5951 -608 -7319 
7269 9962 7351 
5537 7530 -7925 
-7736 4600 9774 
-9458 9041 -1723 
19 3099 -5355 
-1981 3687 6501 
-2739 -3158 27 
-7191 -7433 5983 
1874 -9342 2688 
-1947 -5275 9020 
6445 4727 4658 
-3642 6611 -139 
5194 159 5940 
-823 2341 8594 
8838 5577 3315 
-1977 7821 6970 
5857 5411 -9956 
9766 -1021 -8882 
388 -2437 7822 
7703 -9732 9487 
9768 -1763 -4905 
3113 1847 -991 
6329 7917 4773 
-9181 -6505 7262 
7666 3742 643 
-5191 7142 4220 
-121 5974 2790 
6912 -2136 -5079 
-5717 6800 -5150 
-1883 -1585 -6400 
-8994 -2903 2390 
-9630 -3152 8698 
967 -9889 -8409 
6386 2468 5304 
6691 3807 868 
6794 2200 -8586 
-3012 8790 7614 
7124 6966 -42 
-5186 -763 6487 
-9645 86 2740 
1011 6811 4374 
4733 4977 -4478 
-9472 -135 -3740 
-3439 -7512 -8209 
-5316 262 9288 
-8183 -374 6196 
-4323 -3254 -5473 
-2129 5868 -3723 
4777 -6695 3470 
938 6595 2806 
9417 455 8708 
-1231 6546 -7864 
4714 -5072 1040 
-6356 -6899 -2011 
-2813 -3298 -1008 
8115 6110 1869 
8053 1057 7153 
-246 1641 -5649 
-9469 959 -2292 
-1588 2890 -8762 
-8603 6633 -75 
-8769 -9445 -1686 
-9576 723 -2120 
-9122 9071 9911 
-5782 4952 -4897 
1734 -4698 -8845 
-8677 -3347 -7688 
-561 -2696 8879 
6257 -4540 -8588 
4916 -2034 9862 
6146 6551 -5146 
2716 4605 -8473 
8489 6762 -5690 
5195 597 -8276 
-4635 -5512 4107 
153 7742 7420 
3233 -992 8471 
4785 -587 3639 
3115 -1049 -852 
7754 -172 -6851 
90 -3229 -9056 
-208 -6358 -1678 
9872 3589 4819 
-5593 3680 -2636 
-1973 2118 -8647 
261 2660 -8281 
-4901 6508 -1327 
3159 -1304 8727 
5905 5219 -5025 
4198 7621 366 
4058 -3593 -1336 
6112 -2809 9352 
9343 -3476 6080 
6090 -3783 -2591 
-9158 -1476 8153 
-6759 637 7944 
-1371 -3283 2315 
-3717 -4655 -7793 
-7666 -488 5774 
-2590 2385 -7939 
-874 -641 1272 
2406 -7961 3514 
-5666 5864 -4549 
539 -3413 -8410 
-9604 8725 -9807 
-4045 -1600 7526 
9457 -8768 1794 
3395 -1292 -2265 
-8032 1786 -2828 
5894 1500 2209 
2031 -9697 -9779 
6190 223 -1493 
-402 -2074 2074 
3705 9785 -6447 
-964 1186 8999 
1044 4708 -3274 
-7966 -3534 -3201 
3339 -5268 -3725 
3879 9501 -2509 
9298 -1656 -1231 
-6169 4564 -7010 
8822 4808 6860 
123 -8978 3118 
7783 -1608 -3622 
-9906 -4031 6130 
-6784 5917 665 
-7768 -5839 -4787 
-9867 8520 8258 
-6128 -2913 5389 
4015 -5762 -5003 
-7798 -4628 3813 
3680 2383 -8335 
-4337 -5366 -5696 
-8753 1836 7771 
1049 -5524 -1632 
-315 3857 -9468 
2252 2265 -8510 
-285 3432 -5079 
-5372 412 1832 
1795 -3160 -7936 
-7669 6013 9457 
-5093 -1294 -9347 
-7529 -3635 2175 
