100 3
-4248 3276 -3869 
-1643 -4666 -7067 
5513 -4278 -2044 
-3827 -8433 2728 
5128 -5287 1719 
3911 -2157 -6089 
-4877 -7273 7131 
9773 -1787 -9884 
-6880 9780 3480 
6671 3715 5210 
5023 405 7456 
2615 4962 -4147 
-817 -5990 8232 
-9407 5510 1835 
6105 -2272 -6489 
-4722 -6014 -8801 
-7246 -286 -9120 
-3390 4259 -3631 
-7806 8127 5183 
-7556 7179 -3498 
56 -782 4430 
1173 -2976 -7038 
5254 -2694 9347 
-8884 -2594 179 
3722 -6370 7163 
5415 8344 -7068 
-6140 -4151 -3334 
5495 6584 284 
9668 4460 -6068 
9263 4134 -8843 
7613 86 1536 
-5124 -4377 1498 
-7461 1352 8130 
9659 5477 -392 
3083 -2579 -2293 
-8579 -3907 8236 
6244 5566 -7509 
-1618 5637 -9810 
8422 -8149 7087 
-1441 -4207 1304 
7233 -2348 -104 
-8270 3986 5325 
-4508 4056 -6751 
-3526 8961 2593 
-9898 -5014 6783 
-988 -8152 -9145 
-5244 3925 -2842 
7765 8807 -7357 
-3330 -2024 -3239 
-6545 1665 -1515 
-9585 7146 6380 
-9388 7031 -8945 
-2385 -1541 3048 
-20 4532 -4955 
-7030 -6215 4763 
1367 -5550 -1040 
-245 3083 -9987 
-2452 1685 -353 
3170 -9641 -7306 
-9010 -1032 9531 
-5362 1596 -2681 
4173 -5849 7773 
7444 7921 6772 
-7303 -7609 -4266 
-1278 -8684 -8527 
5484 -831 2824 
2121 9156 -7995 
-6251 -6383 -3425 
9913 -8868 -7640 
7238 -1541 -6633 
7247 -2101 8781 
-582 -622 -689 
-6559 -1183 5253 
-2960 -9728 9742 
-3078 -9839 3316 
9348 2606 6957 
-6686 3778 5372 
-655 5393 9605 
-6886 -34 4260 
-4723 1434 -245 
554 -673 -6257 
-1449 1888 5949 
-6872 4718 -716 
-7385 -4481 -3806 
-5023 5450 -1474 
8040 -2775 -7327 
9797 5480 1316 
-7193 6923 2659 
9593 3125 9507 
625 6128 -7455 
3109 2214 9662 
-4725 4677 3501 
-6027 -1029 9846 
-2151 -2754 -6463 
6845 -3326 8015 
8193 9313 -7122 
4051 9618 2235 
-4129 -3199 -8020 
7765 7358 897 
6597 -349 -4520 
