10000 3
-5590 -9075 -4246 
-5348 6229 -9097 
2262 -9833 -8617 
5618 -8755 -5309 
11 1480 -285 
-9447 -2896 9372 
-4257 6052 6436 
616 -2005 6151 
4456 -4866 -8920 
8238 -8950 8358 
-1745 498 -4871 
-7032 -1708 1099 
1666 -6550 9271 
3019 -5188 3803 
297 -8505 -379 
-8488 -4244 -9424 
526 -4679 7055 
-9723 767 9977 
5033 8039 -5632 
644 -8421 3261 
9884 -5649 -1043 
-1109 2866 -9294 
4551 -432 957 
7948 -5157 -2570 
8032 4387 -5877 
-5732 -6934 3916 
-3357 -1810 3422 
-2938 -605 -5670 
-7756 -6286 -2646 
2126 5396 -3338 
-336 -7831 1882 
6196 -4436 -675 
-2646 991 658 
-4237 -5351 1158 
-623 9931 1105 
9712 3511 5512 
4715 -9876 -4601 
-3569 -6887 3903 
4882 -3250 7847 
-1988 296 -8184 
3324 -9411 -7571 
6353 -3610 -4193 
4987 7272 7172 
-2206 7704 984 
-9364 -8835 -3048 
696 7557 4387 
671 772 -7506 
-6377 2237 3733 
6055 -4215 -85 
2338 -4554 3265 
-4179 5079 4936 
4241 814 9880 
-5667 -3281 6341 
-180 3563 -1635 
-7378 -8461 -939 
5200 7115 1707 
4557 -8118 -8770 
-3081 3307 -1657 
-2287 -9452 -6133 
-6716 7553 -1853 
2854 9789 -3120 
8930 7693 -5379 
-7583 4299 -9700 
-3748 6046 -6996 
-3168 -4063 553 
7079 -9156 -6823 
-8170 1217 -310 
5337 8594 -8715 
-9544 4718 -1870 
4110 823 -5738 
4455 -9186 -4355 
5968 -4447 -3025 
-887 -4917 190 
6432 8021 -5128 
-7969 3450 -7177 
-7801 3321 5265 
-6339 -6656 885 
9561 1637 -9008 
-3288 901 6121 
1495 8390 -9435 
-6375 5750 -3406 
9050 7834 -9391 
9769 -6523 5197 
8164 9485 3797 
-1404 9362 -218 
-1465 -7186 9048 
-6531 -7588 7993 
7764 8385 3344 
4059 -2581 8963 
4064 -7796 6205 
4712 -8241 6398 
-1841 -6490 -5359 
8831 -299 6599 
-7859 5437 7508 
-2807 5684 7491 
6230 2177 5810 
-4460 -3214 1601 
9723 -3575 -7698 
2153 341 2396 
-1139 -278 -1767 
-5354 9408 -7688 
-1934 -8821 -3533 
-3720 -5092 -1754 
-9762 -5802 5253 
2487 -4157 4043 
4214 5895 -5113 
818 8433 3305 
-7374 4800 9987 
4456 -7271 4075 
-4732 -1133 -7979 
-2882 7601 5875 
4688 -1604 6511 
4696 -4555 5492 
1498 -8790 -6052 
-2109 -1357 6367 
6614 -872 -714 
2418 -1785 -7565 
8190 -1719 -4964 
79 -6723 8654 
-402 6783 -2005 
-6960 749 4663 
-9254 9221 3872 
8533 9971 254 
-997 -9451 -2538 
-2445 5163 -845 
-2233 -3147 3890 
-6094 8961 7632 
5073 6834 168 
1836 6782 -1184 
5296 -760 5636 
-3800 5128 9061 
-5115 2883 1882 
5123 -122 -9343 
-2334 -3616 -4335 
-7313 4917 9786 
1562 -7286 8384 
3238 5609 1017 
5368 -1662 -4304 
446 -3814 9622 
-7877 2677 5285 
