150000 3
-8933 -3026 -1484 
-183 -8124 8490 
-3354 -9797 9621 
-6448 -4453 -1804 
4479 -4225 1802 
-7700 -5361 -623 
-8933 -4122 6031 
-9020 9890 -6011 
-3938 9510 4864 
7165 -2818 -3905 
7285 3229 -1212 
-2636 7279 6380 
-8931 -5496 1124 
34 9753 3753 
-7613 3339 -1438 
9612 -5016 1312 
9659 -7598 -118 
-5450 114 -8916 
5118 9071 33 
-7017 7024 -9332 
-3490 9726 -3092 
-1638 -420 -9697 
-6737 2869 3196 
3900 1731 -7056 
-9050 -9900 3564 
8885 -7501 9649 
7279 -2579 -7463 
-2639 -2948 -4224 
-7939 7705 2590 
4759 -4059 -675 
8077 -960 3657 
-952 -179 1236 
580 -9264 9907 
-5064 -1581 7881 
2464 6728 180 
-3809 -3065 5733 
-5143 9524 2916 
2125 -7064 3011 
-2726 1884 -249 
6527 -1451 608 
-2151 872 -8723 
-3566 -3712 -2223 
-2103 -6977 4667 
1024 5816 6301 
-5842 7134 1440 
1571 -9699 -311 
-2303 -8005 6670 
-4069 2462 2595 
-5874 -4290 -7450 
-9416 5449 -3280 
995 -5791 -5328 
3036 5258 -5396 
1511 1493 -2940 
8943 2758 5471 
-2626 9381 7345 
1049 3672 -3913 
-1502 -8539 7719 
-1264 5170 -1657 
-3468 5131 3961 
-1649 4644 7603 
7382 4228 -1193 
7971 -9999 -2519 
5837 1007 -2636 
-7207 -3341 1063 
6279 1391 -7331 
2968 3914 -299 
-8075 7173 -7952 
4786 3836 1571 
811 5433 -3013 
9513 2958 6079 
-927 1583 6697 
-1726 605 -5410 
5109 -6423 -4776 
-2821 -344 -9941 
-5106 -3066 -3905 
1741 734 4697 
8367 2811 -1175 
-7550 6762 -3378 
8901 -2058 -4453 
-9109 5772 -1983 
8577 5293 2318 
-4166 -6871 -3477 
-8914 -6788 3981 
1903 -807 8040 
364 3175 2882 
-843 -7130 -9944 
80 5412 6466 
-1995 -337 9606 
4916 -2726 3428 
-5518 -1245 9647 
-4783 -2770 -4116 
-7019 -9952 -502 
-7436 1973 8126 
-3099 -9018 295 
5122 -2356 -5461 
-9496 -6688 -3617 
-8904 -3199 157 
-4206 -5530 4026 
-5764 4287 2950 
8574 -8652 5702 
9053 -6681 -102 
9640 -7574 1597 
-1932 -7968 -6655 
-9648 6185 -9138 
5784 5478 -4348 
-899 -6656 -5913 
-5406 4835 -4192 
-9429 -2395 -1593 
3848 7194 -1200 
9640 -2193 3973 
-8718 -9599 -5306 
4478 5048 9938 
7113 7034 -4794 
2333 -1940 -3638 
-1220 1405 4249 
-9238 1936 -3601 
7 7416 -1429 
-3240 9927 -3360 
-7707 -642 -3063 
4680 -4797 4969 
-7037 -3706 -461 
-7922 -632 -5305 
9227 5971 -3939 
-3273 10000 8883 
3249 -4910 -2472 
242 -7779 -3748 
-687 -2045 4654 
6087 2142 -9067 
-8747 8774 1446 
-6304 3886 -9761 
-5682 6252 -8600 
-6141 8880 837 
9358 -9244 1506 
4108 6928 -6454 
-1661 -9260 5324 
-6168 -1783 -4217 
6034 8747 -7566 
2864 2488 -2754 
805 5780 -1128 
7308 -5288 5410 
2784 2760 4574 
-2550 -554 5427 
6546 -1203 9143 
-5047 7814 265 
-3367 -274 1837 
-7195 -15 -9525 
-8076 -6074 -9664 
6545 4395 -3051 
313 -4300 714 
-1739 -5020 -5305 
-8768 9238 3273 
9306 -3296 3757 
5215 -4684 3003 
4445 -5178 -1554 
5463 -7153 2278 
-2390 -1820 1104 
5195 -2262 1649 
6700 -9202 -2020 
-8294 -5499 4486 
-9608 6634 -5040 
4023 -7065 6 
3760 321 8170 
9549 9032 -9166 
-2136 -3897 2651 
-2214 448 -3282 
4861 5316 1208 
-9882 4595 -50 
-2350 2506 1870 
-219 5621 -1722 
3498 560 7212 
9527 2509 4898 
5430 7417 -8068 
9013 -1155 -9840 
3325 7414 -3288 
-7676 2568 3303 
6969 4121 -653 
1980 -1220 -5450 
-1318 -2910 -3079 
-9144 1444 -3423 
-6264 -4796 -3753 
-6252 -5745 1439 
-5925 6643 1987 
5964 2012 -6650 
-9989 -7815 9290 
-8293 9256 7056 
-4824 -4036 -5201 
4890 3522 -9480 
-50 -7095 -7925 
4125 4423 -6134 
4739 -2522 189 
-398 -3416 -3106 
-4787 -8363 -3056 
-7764 -3752 4519 
8607 -6926 9913 
-3694 7260 6468 
-2561 -4068 523 
4793 5715 -4025 
-9134 -9422 5007 
625 -3405 -4181 
5790 2881 6705 
1991 -9826 7653 
-907 -7467 -7384 
9716 -3065 8633 
-4978 -9760 1891 
9460 3099 5559 
8100 -2729 -4508 
3994 -6608 7532 
2881 7769 940 
-8297 -1692 -2739 
-8412 2263 8583 
-5522 -6877 7194 
8515 1554 -9771 
-1345 -3569 8416 
9338 8152 -2398 
-7416 -901 833 
2520 -9231 -8075 
-2092 5070 5449 
8781 -4761 3475 
8997 8989 59 
9406 5058 -6809 
-7915 8251 3286 
6026 6641 3060 
6883 8508 5433 
-8131 -4356 8504 
3920 384 -5817 
-2091 -3436 -6736 
-196 -5538 -1044 
-5203 7804 3601 
1958 561 2540 
-7563 2005 -9283 
-764 -3461 -287 
4747 -9588 -8895 
9188 -4047 -5321 
-4682 6163 2027 
-1767 -5561 4422 
4726 809 4394 
9787 -1412 8565 
-6144 -6094 7096 
2284 9032 5430 
-9008 -2341 -9634 
7206 -8956 7234 
-5309 8050 -9265 
-7796 867 -3484 
4411 -2615 1015 
-2835 -501 5040 
-8740 9201 7512 
4368 9623 9142 
-8579 -685 -7529 
2611 -175 -566 
-4576 -2004 -8026 
5817 6443 9619 
2300 4334 -2951 
-4637 2128 -1441 
-93 -7057 904 
9933 -4687 -4729 
-3344 623 -4124 
6231 -5967 -7331 
4932 4874 -5244 
4068 7365 6649 
-2912 5713 3273 
-7627 4266 -3552 
-3249 9581 5417 
-2039 1629 5556 
9543 3767 4828 
-1949 -6594 4568 
9035 -4008 -6846 
-2047 7502 8684 
8781 4976 -7528 
4825 -2522 9465 
3381 -4549 3995 
7315 908 -9810 
7189 9760 346 
9394 7512 3921 
-7739 -829 4615 
-2071 -8471 -8704 
-4875 8799 5231 
8218 -2263 -2987 
-4071 3925 -3701 
9256 -6823 271 
9316 8313 9836 
-8974 8543 4812 
1224 9289 8554 
-3827 -8562 -6246 
1583 8294 8977 
-837 -676 -309 
-4594 -4044 -547 
-8057 -761 -2509 
-2682 -8666 -5849 
-9839 -7591 -9129 
-5840 -2892 1643 
-3636 -4845 820 
-7290 -2596 1601 
1025 3851 -8414 
-5947 890 1898 
2570 3075 -5159 
-9832 6452 -1870 
-8400 199 -8938 
-7895 5015 -2833 
-3706 9744 2300 
-2718 841 6367 
-2091 -4588 -4170 
-8855 -3610 2155 
-3637 5030 -136 
228 1261 2688 
-7400 -1623 8998 
-474 -3420 -4172 
-7418 -9461 4982 
3940 -8605 -1758 
-1434 2652 -8878 
-5741 -6713 3251 
-2675 -4398 -9766 
7612 -6603 8742 
6329 -9191 3401 
8172 -7565 -5595 
4433 9913 -4724 
593 -9636 -1423 
567 2041 -353 
-2505 1623 -4764 
-4440 -1021 1609 
1968 -9184 -8263 
-8285 2701 -181 
-6465 6882 9957 
880 3339 -4409 
-162 3974 -6270 
-7705 366 7843 
1110 -8476 -1096 
-8096 -2791 -307 
-5260 -9950 3549 
3853 -6403 1655 
3618 3291 6937 
1258 -444 148 
4986 4818 3036 
1022 -6304 2051 
-1096 -8923 -8071 
-7321 4338 -4981 
3537 908 -6377 
-2327 -924 3626 
-4286 -3035 586 
-1217 -5836 3470 
9278 -3196 4821 
9627 -1765 -9450 
5512 274 -1830 
-2753 -620 5017 
-9032 3048 -7840 
9910 -4236 3709 
8099 2357 -195 
8506 -7103 6687 
-7558 9966 5603 
3969 2491 -6903 
9261 2905 6045 
-6834 7401 3427 
-3946 -7935 -7781 
-3839 -3285 -4024 
1056 8767 1499 
-2056 -7141 9612 
-910 -8672 354 
7483 -1931 1441 
-2634 7864 9597 
-6000 -5091 -2222 
8769 -3404 2405 
-2900 -1005 -7405 
-2709 7876 6326 
-2274 -1100 3455 
-7112 7047 279 
-1456 9724 5478 
6170 5771 9358 
472 -3683 9684 
5000 9569 1692 
-6544 1612 -8613 
1450 -3786 -8377 
5210 7918 -6365 
1657 3954 -3270 
14 -9991 8190 
-8295 -6578 -9715 
-1366 3894 2401 
5519 7919 1383 
-9167 -7645 -5570 
8340 -7659 -406 
-8028 -7787 -714 
3825 -7155 -7339 
876 -7035 -9534 
3952 1447 -8359 
-4028 8324 1283 
-8564 3204 4437 
5953 -4396 158 
-5388 -1372 8656 
2273 3602 6819 
5680 9555 -1479 
2412 -9792 4737 
-673 -9739 -9756 
-4864 -4040 4214 
2623 -881 4625 
-7705 -6877 -9938 
-2505 3398 -9111 
4884 -1496 413 
-474 3213 3753 
-2733 -8697 9447 
-2012 6605 -1081 
-7249 -7860 -3887 
4622 -1271 -2162 
874 -2821 2070 
-2752 -2349 -4791 
8202 6081 -3708 
4145 -7069 -8123 
-3575 -3421 -5330 
9214 5449 -6764 
-2154 -3019 8397 
-7887 -8130 -6965 
13 -4890 2206 
2745 7311 -5749 
6873 -810 -9349 
8378 2035 4444 
6512 2120 -7871 
8107 287 5511 
57 5606 7873 
7096 9279 -8108 
2604 2103 -7428 
5612 -9603 -6351 
7405 -6961 -4296 
38 -228 9559 
228 4920 2577 
-9564 836 8163 
-6889 -8007 -5062 
4398 -2498 -2480 
-906 -5591 -2635 
-1339 4424 569 
-7832 -5926 -1432 
-2840 -1944 8761 
2400 1688 6008 
6809 3351 3201 
7058 -7468 7167 
7943 -5036 6006 
-6730 -4980 -6341 
4076 -234 -3472 
-8460 6189 -9866 
-1704 -9848 -504 
4494 -4516 6741 
-8364 -9640 3288 
7714 -7770 6001 
-705 -439 -8402 
6579 3724 -983 
-8884 -4657 -7510 
9517 3935 8030 
8224 -4719 6892 
-2877 -9591 2291 
-2515 -1867 8579 
-6049 -701 -5075 
-369 8464 -5486 
5112 1700 1021 
3334 -9799 9911 
7393 -7403 -6775 
253 -9589 -1636 
-2183 -6518 -7770 
-3673 -232 -9754 
3071 -6986 -9806 
-9992 -6114 4327 
-5007 -6561 -6692 
-5899 6681 7992 
7612 5910 -3185 
2261 9706 -8463 
3444 534 -2797 
-8139 1086 -2700 
9144 4239 1340 
-4292 -2609 8423 
8123 -7944 7071 
-2658 6808 -1974 
-4252 6594 1032 
8973 4367 5780 
9221 9466 1270 
4594 -4400 3348 
3893 -9025 9601 
-9218 -3459 -416 
-3853 -6527 8194 
3183 3700 -364 
5429 846 -3862 
8154 1414 2760 
9158 -1976 -1785 
-839 -4086 3813 
3835 8002 1074 
-3340 9371 431 
-4449 5608 3429 
-8748 5040 -6002 
-1603 1335 -3664 
-478 9620 6666 
4573 178 3167 
8692 7142 -4561 
-9942 3999 1058 
381 -9034 3709 
8547 -3461 -8195 
588 -9101 -4225 
-1304 1338 5769 
-8624 2624 -9046 
-686 4517 -716 
8053 4809 7088 
4406 -353 -2095 
-545 5399 -1038 
-9840 1611 2106 
-3258 -6751 7084 
-4344 -5614 -1560 
-8347 4774 -108 
4786 -7025 -8334 
-2269 317 9935 
4812 -9222 4668 
3976 9178 5762 
1637 -9702 8210 
-1296 7539 -6547 
3579 7625 1106 
-4715 4238 -9728 
-3649 1752 -7832 
-3949 4061 9267 
-956 2659 6617 
-9460 3652 -1976 
4888 1674 9744 
-3587 -1187 1292 
-7275 6908 -6660 
7915 -5229 1198 
8562 4193 -2625 
-7190 -7979 4414 
-6706 8927 7958 
-8311 1901 3398 
-8148 -1684 -4407 
2931 -5187 -7031 
6101 139 5800 
-859 5971 7343 
493 -9420 2747 
7131 -9894 4893 
9573 8189 8270 
-8000 3624 8283 
-8773 1423 -4576 
-5244 3429 5780 
-1683 -7369 -9208 
-4810 1303 6188 
9438 -1702 -6216 
9970 -6068 8147 
3327 8514 -267 
-6328 -7954 6757 
-2315 -3634 -7856 
3127 2255 -5500 
6601 8024 -1806 
1875 -1584 -9253 
-4938 7938 -1463 
45 1125 4678 
1282 7852 1023 
8936 4074 -2687 
6982 8578 -1956 
6529 1765 -568 
7559 2704 -437 
-9361 5813 4688 
-8969 -1703 -1605 
-907 6260 8907 
-7459 -2168 -3349 
-2590 3940 -3272 
8902 -4892 6507 
-6440 -6110 459 
-1186 9977 -2700 
-508 -7237 1102 
2616 -136 2880 
-8778 -8352 402 
-7122 822 -7202 
5873 -3056 -8159 
1092 8929 -3700 
1479 1084 -7853 
-416 6491 -7191 
-9850 -3374 -3757 
5964 9562 -241 
-634 -253 -6913 
6615 1074 -4520 
-1624 -7213 -8791 
5900 2535 -8610 
7798 -1609 3117 
-940 -7396 -4046 
-4001 -8841 -6945 
6035 -3134 -2128 
8424 4195 -6852 
-6843 -6174 -2043 
-4909 5292 -28 
7825 -8540 6879 
-7700 1839 8588 
4098 -6361 -2918 
2058 4043 4193 
-9964 -399 8101 
4901 1904 3519 
-9807 -2038 -6507 
-2324 -4296 6306 
-4664 8833 -4179 
-8410 -586 -2182 
-3048 -2483 6223 
-3650 -6944 -7916 
3963 4694 8952 
-5782 -5551 -7889 
-2617 3622 205 
5609 2918 5807 
-9175 -1914 -6646 
2274 2899 -5667 
9892 2763 5943 
-3731 -9264 6653 
-8018 6480 3608 
6935 526 416 
6530 8123 -8824 
-6216 -7629 -2173 
7545 3583 1742 
3861 -1445 4053 
6720 4555 -9724 
7492 -510 353 
-1335 5718 3991 
-2160 -1041 -5235 
-9277 -2494 -3244 
-3659 -6607 2040 
1455 4720 -5898 
8104 -4946 7327 
2927 -3362 -9987 
5686 6979 -5785 
859 -1729 5538 
9328 -9835 -6912 
-674 851 -6336 
-9016 8340 4907 
-9832 -9915 117 
3451 -2463 4748 
-3549 -4862 -9466 
553 8959 3563 
-8676 -1764 9362 
5284 8348 -7102 
2844 -7567 6380 
-6795 7653 -4444 
-5590 2115 6526 
-8057 1771 -1406 
-9970 3439 -8090 
-5993 -7412 -1160 
8026 6246 -9030 
-8564 6014 2054 
-5266 724 661 
-7130 247 -1869 
-111 -8338 -9734 
3424 5089 -4454 
-7655 7508 2291 
4852 -32 322 
-3203 -3554 -9050 
-6668 -9066 -7246 
-6661 -5372 9073 
-1115 3552 404 
-219 1704 -6220 
2600 3804 -7991 
6971 -3850 -5781 
-2034 1813 -598 
-1408 -1775 -3948 
1731 5485 4306 
2031 4328 -7964 
4869 -7851 6703 
-4704 -9915 -4488 
-2281 7325 -6512 
-3445 -2447 1019 
4345 9413 4928 
552 -7500 -4495 
-6649 -6960 2973 
-7467 2095 1662 
-8743 5209 2886 
-5444 -9093 4419 
4236 -1557 -716 
960 925 2147 
7164 -9061 9466 
-3191 -8642 -3768 
-9797 8091 1060 
-9508 4202 6097 
-9108 844 1156 
-9186 -9679 8234 
-2638 -1956 5863 
4176 -3581 -8433 
-3495 -921 -6735 
-4013 4878 -4339 
-9112 670 -8896 
6164 2156 4616 
-3402 29 2698 
3135 5307 -2018 
-5457 600 -6760 
-7703 5638 7018 
6833 -5333 -2791 
8313 6522 455 
-3220 2231 4864 
3439 -7839 2324 
-3734 -496 9919 
-7576 -5064 -3210 
6998 4755 9254 
5556 6908 -2176 
7756 1530 -1833 
-7351 9196 178 
-5229 -7344 3272 
-5071 5822 8694 
-5460 -4857 -6217 
150 -8593 -9352 
4443 -3705 -5774 
835 -7026 -3651 
3991 287 497 
-431 -8820 5337 
-5377 -7665 -9690 
-3572 -4756 1081 
4521 7590 -49 
-4481 -2779 -5462 
-254 -2441 -2834 
5634 -8746 1531 
3722 9810 1823 
7339 -6095 4022 
6573 1116 -4887 
-8110 4570 1375 
-2591 -772 -6024 
-3883 2868 8283 
8831 7043 -3470 
4092 -996 4683 
9690 4497 5375 
4527 7497 2377 
8780 -9483 -227 
6678 4303 -9655 
2855 -5219 -3591 
-4633 -9682 8405 
-6568 7793 5290 
9286 7970 -2504 
1806 3085 8066 
8925 -1277 -2478 
-5225 8186 2367 
5246 -8864 9778 
-7216 -1736 -6696 
3979 -2944 3151 
-7956 -4359 -6390 
-8971 -9986 -2008 
-2621 -3466 7009 
5062 -5565 -351 
-642 -6353 9652 
-3889 1957 7274 
-3972 -81 -6875 
-1078 4774 -6175 
-459 -2231 -1604 
7353 6801 2480 
-8722 4319 -5400 
-4003 9529 -4109 
6186 -1203 9079 
-1819 -4107 -6443 
254 5675 5542 
-9856 2975 -7144 
-6242 6810 -85 
-1921 1627 8567 
-8710 -9160 -1345 
-4208 7948 -5367 
-3077 2531 -2874 
6297 3694 7635 
6597 9824 3740 
-3314 8718 5535 
4078 -7368 -8001 
3196 7703 -8066 
7817 -6792 4807 
-442 -6058 552 
728 -3089 8728 
-6042 -3575 512 
-4029 -3914 -4345 
-6168 4964 3993 
3351 -7305 8507 
3374 -8490 -7766 
8192 9412 9284 
-2351 -7487 108 
6125 -4856 -2681 
599 -6558 -4764 
9107 -1772 -9374 
-8004 6257 4250 
3074 -1258 8700 
-5743 7686 -3542 
5284 -9697 3242 
392 724 5618 
-2325 175 -3587 
2910 -1587 6100 
-5276 -9351 -3212 
4723 8960 4867 
1205 -5305 -1601 
2801 8325 5911 
5939 2382 3978 
5477 6538 463 
9128 4443 2410 
24 1888 9160 
8577 -7530 -5337 
-4257 -8714 -2830 
5737 1982 4588 
-9675 -3352 8426 
5501 4118 -5370 
-5096 5545 -6537 
6223 -8479 -3019 
1767 -1117 3082 
4426 2567 9 
-7159 1697 -1438 
5732 -6651 3471 
7241 -1655 -6970 
8070 -283 -5313 
-8787 -9068 -5413 
2384 9178 4096 
4078 -6589 -2377 
8707 6199 2900 
-409 6283 -8627 
487 -9046 -4400 
-4205 -4424 -1654 
4938 -9667 -8456 
-6036 -3768 -975 
1192 9048 8656 
1228 -4767 -1582 
-2944 8773 -7439 
-9918 5717 -4563 
-7427 -4163 9676 
163 3459 -5667 
-2840 428 -9382 
9203 4768 5324 
-2438 -1774 -7232 
-7869 6613 5890 
6373 6495 3533 
1923 -3714 8961 
-8528 5276 -1714 
1502 -6381 -5739 
2620 -4551 641 
-2355 -5658 -9692 
3150 -5934 9938 
2149 3296 -5940 
-2883 -4664 1530 
1485 -4186 7936 
6229 3095 2269 
-9643 3236 -2129 
-202 -5203 5894 
-3846 -7047 -9083 
-891 7215 3310 
5805 4945 -2128 
4093 -1157 6210 
-8021 -5943 -8644 
-1737 -2412 -5683 
-6219 4259 -2509 
-1768 -2337 3879 
4797 9515 -20 
-5605 -8642 4026 
5955 6050 5234 
2418 9630 -7282 
-4405 -9880 1796 
-2495 7829 3398 
-5779 1765 9248 
720 1268 7931 
-8818 2843 -3907 
-7865 -3563 3860 
-4247 4855 4752 
9508 9541 9453 
-1300 -4852 -7770 
-9639 -7513 7109 
6388 -613 -7205 
646 2445 6624 
-8290 -6377 8672 
3153 2139 -3518 
8004 -9931 -5418 
-2773 -5835 3579 
259 -1645 3891 
880 9617 -2027 
9920 -5152 -6588 
7009 2852 -4524 
-6649 -7541 -2460 
3195 4822 -3373 
5055 -3208 795 
-9004 5186 8911 
772 -3914 -3309 
1490 -7843 2019 
-1906 -919 3044 
-3274 -9649 8282 
-3470 -7436 -4291 
-5559 599 -1260 
2837 3865 -4806 
995 5533 2604 
-1876 -6028 -3196 
-5610 8676 5949 
-1458 -7619 -1679 
-1932 9673 4043 
6988 7634 2070 
9432 1596 9984 
8423 7952 7020 
5466 9864 -7501 
7468 -2350 -8807 
-4376 -4335 -1881 
4162 -9343 -1868 
-1761 -5664 -3168 
-876 -8443 -653 
-6315 -396 -8327 
9858 -8933 -8464 
5457 1656 -2140 
2167 4281 -4001 
-3332 -9300 7456 
-2551 9152 -5448 
-3941 7816 -5345 
-6831 273 -7157 
-4934 9131 -2220 
2464 9445 -6382 
-4016 -6873 -8286 
-7307 -3449 8835 
1727 -8288 1201 
-5569 -8209 -6716 
-1986 -6698 8006 
7736 260 -2750 
-8822 740 8214 
-9041 2749 9528 
-6223 8278 3224 
-1958 -9839 1936 
7528 -4445 20 
3549 -5397 -2094 
-4110 6895 9016 
4987 -4293 3714 
46 2654 5975 
-2147 5761 -2467 
6526 -7500 -7612 
2296 -5634 9174 
2785 -7957 7834 
-9475 -1419 9274 
-3582 4241 -2853 
7537 5705 9963 
-9594 9999 -9467 
-66 -1730 4509 
-669 -3331 -5432 
-8958 -1692 -4250 
5065 5862 -6991 
-1530 -2611 -2702 
4031 -7286 2337 
-4427 -743 2340 
4042 7436 3699 
9458 495 1871 
-8394 6353 6425 
8078 -5813 -4541 
3340 2503 -1045 
3911 2107 -9424 
-4671 156 -4553 
3426 2679 7014 
148 3256 974 
172 8248 -3970 
4764 605 5285 
-2735 367 -3318 
9768 877 5986 
-9222 -5385 8117 
5882 -3137 7667 
5497 4594 9038 
3360 -391 -1670 
-9697 -6664 7870 
9012 -5980 -9959 
9747 -6493 8145 
7764 -1512 5813 
-1526 -9120 -3852 
439 -6980 -201 
-9711 -7050 7967 
-6420 5941 7851 
9404 -2216 -8081 
-5263 6562 3886 
-2667 -5031 -4000 
708 3395 1896 
-3198 -548 -2996 
8894 -4146 -3915 
-9965 6028 3281 
-9644 7690 3202 
-6371 -1993 423 
8465 -4737 -7197 
-5471 -526 7273 
-5780 5191 191 
2978 -4287 5692 
-1317 -8047 -6346 
3763 1317 -8079 
-31 -1874 4038 
7732 7696 2715 
-8782 -7375 334 
-7779 4472 7701 
-9792 -9943 2824 
-4318 -82 2506 
434 -5091 -7946 
6623 8731 -1508 
-2317 -9845 9897 
2394 2748 -5338 
